Symbol,GICS Sector
MMM,Industrials S&P 500
AOS,Industrials S&P 500
ABT,Health Care S&P 500
ABBV,Health Care S&P 500
ACN,Information Technology S&P 500
ADBE,Information Technology S&P 500
AMD,Information Technology S&P 500
AES,Utilities S&P 500
AFL,Financials S&P 500
A,Health Care S&P 500
APD,Materials S&P 500
ABNB,Consumer Discretionary S&P 500
AKAM,Information Technology S&P 500
ALB,Materials S&P 500
ARE,Real Estate S&P 500
ALGN,Health Care S&P 500
ALLE,Industrials S&P 500
LNT,Utilities S&P 500
ALL,Financials S&P 500
GOOGL,Communication Services S&P 500
GOOG,Communication Services S&P 500
MO,Consumer Staples S&P 500
AMZN,Consumer Discretionary S&P 500
AMCR,Materials S&P 500
AEE,Utilities S&P 500
AAL,Industrials S&P 500
AEP,Utilities S&P 500
AXP,Financials S&P 500
AIG,Financials S&P 500
AMT,Real Estate S&P 500
AWK,Utilities S&P 500
AMP,Financials S&P 500
AME,Industrials S&P 500
AMGN,Health Care S&P 500
APH,Information Technology S&P 500
ADI,Information Technology S&P 500
ANSS,Information Technology S&P 500
AON,Financials S&P 500
APA,Energy S&P 500
AAPL,Information Technology S&P 500
AMAT,Information Technology S&P 500
APTV,Consumer Discretionary S&P 500
ACGL,Financials S&P 500
ADM,Consumer Staples S&P 500
ANET,Information Technology S&P 500
AJG,Financials S&P 500
AIZ,Financials S&P 500
T,Communication Services S&P 500
ATO,Utilities S&P 500
ADSK,Information Technology S&P 500
ADP,Industrials S&P 500
AZO,Consumer Discretionary S&P 500
AVB,Real Estate S&P 500
AVY,Materials S&P 500
AXON,Industrials S&P 500
BKR,Energy S&P 500
BALL,Materials S&P 500
BAC,Financials S&P 500
BK,Financials S&P 500
BBWI,Consumer Discretionary S&P 500
BAX,Health Care S&P 500
BDX,Health Care S&P 500
BRK.B,Financials S&P 500
BBY,Consumer Discretionary S&P 500
BIO,Health Care S&P 500
TECH,Health Care S&P 500
BIIB,Health Care S&P 500
BLK,Financials S&P 500
BX,Financials S&P 500
BA,Industrials S&P 500
BKNG,Consumer Discretionary S&P 500
BWA,Consumer Discretionary S&P 500
BSX,Health Care S&P 500
BMY,Health Care S&P 500
AVGO,Information Technology S&P 500
BR,Industrials S&P 500
BRO,Financials S&P 500
BF.B,Consumer Staples S&P 500
BLDR,Industrials S&P 500
BG,Consumer Staples S&P 500
BXP,Real Estate S&P 500
CDNS,Information Technology S&P 500
CZR,Consumer Discretionary S&P 500
CPT,Real Estate S&P 500
CPB,Consumer Staples S&P 500
COF,Financials S&P 500
CAH,Health Care S&P 500
KMX,Consumer Discretionary S&P 500
CCL,Consumer Discretionary S&P 500
CARR,Industrials S&P 500
CTLT,Health Care S&P 500
CAT,Industrials S&P 500
CBOE,Financials S&P 500
CBRE,Real Estate S&P 500
CDW,Information Technology S&P 500
CE,Materials S&P 500
COR,Health Care S&P 500
CNC,Health Care S&P 500
CNP,Utilities S&P 500
CF,Materials S&P 500
CHRW,Industrials S&P 500
CRL,Health Care S&P 500
SCHW,Financials S&P 500
CHTR,Communication Services S&P 500
CVX,Energy S&P 500
CMG,Consumer Discretionary S&P 500
CB,Financials S&P 500
CHD,Consumer Staples S&P 500
CI,Health Care S&P 500
CINF,Financials S&P 500
CTAS,Industrials S&P 500
CSCO,Information Technology S&P 500
C,Financials S&P 500
CFG,Financials S&P 500
CLX,Consumer Staples S&P 500
CME,Financials S&P 500
CMS,Utilities S&P 500
KO,Consumer Staples S&P 500
CTSH,Information Technology S&P 500
CL,Consumer Staples S&P 500
CMCSA,Communication Services S&P 500
CAG,Consumer Staples S&P 500
COP,Energy S&P 500
ED,Utilities S&P 500
STZ,Consumer Staples S&P 500
CEG,Utilities S&P 500
COO,Health Care S&P 500
CPRT,Industrials S&P 500
GLW,Information Technology S&P 500
CPAY,Financials S&P 500
CTVA,Materials S&P 500
CSGP,Real Estate S&P 500
COST,Consumer Staples S&P 500
CTRA,Energy S&P 500
CRWD,Information Technology S&P 500
CCI,Real Estate S&P 500
CSX,Industrials S&P 500
CMI,Industrials S&P 500
CVS,Health Care S&P 500
DHR,Health Care S&P 500
DRI,Consumer Discretionary S&P 500
DVA,Health Care S&P 500
DAY,Industrials S&P 500
DECK,Consumer Discretionary S&P 500
DE,Industrials S&P 500
DAL,Industrials S&P 500
DVN,Energy S&P 500
DXCM,Health Care S&P 500
FANG,Energy S&P 500
DLR,Real Estate S&P 500
DFS,Financials S&P 500
DG,Consumer Staples S&P 500
DLTR,Consumer Staples S&P 500
D,Utilities S&P 500
DPZ,Consumer Discretionary S&P 500
DOV,Industrials S&P 500
DOW,Materials S&P 500
DHI,Consumer Discretionary S&P 500
DTE,Utilities S&P 500
DUK,Utilities S&P 500
DD,Materials S&P 500
EMN,Materials S&P 500
ETN,Industrials S&P 500
EBAY,Consumer Discretionary S&P 500
ECL,Materials S&P 500
EIX,Utilities S&P 500
EW,Health Care S&P 500
EA,Communication Services S&P 500
ELV,Health Care S&P 500
EMR,Industrials S&P 500
ENPH,Information Technology S&P 500
ETR,Utilities S&P 500
EOG,Energy S&P 500
EPAM,Information Technology S&P 500
EQT,Energy S&P 500
EFX,Industrials S&P 500
EQIX,Real Estate S&P 500
EQR,Real Estate S&P 500
ESS,Real Estate S&P 500
EL,Consumer Staples S&P 500
ETSY,Consumer Discretionary S&P 500
EG,Financials S&P 500
EVRG,Utilities S&P 500
ES,Utilities S&P 500
EXC,Utilities S&P 500
EXPE,Consumer Discretionary S&P 500
EXPD,Industrials S&P 500
EXR,Real Estate S&P 500
XOM,Energy S&P 500
FFIV,Information Technology S&P 500
FDS,Financials S&P 500
FICO,Information Technology S&P 500
FAST,Industrials S&P 500
FRT,Real Estate S&P 500
FDX,Industrials S&P 500
FIS,Financials S&P 500
FITB,Financials S&P 500
FSLR,Information Technology S&P 500
FE,Utilities S&P 500
FI,Financials S&P 500
